question_id,operator
2e400427ac62d7093f914ded10331530858c4a3a,op1
a1b300fae47e0761d6413f5ac7e40f2690170ad3,op2
a0aa3570e97652cb8288bb4cd778c11900dc9888,op3
5b773894a32d0a97954f1aa74b9a79aae9efe11e,op4
ae5778a5c3dba697160eed2fc2317533d8b80cf1,op5
74f4f8f965b3c0bd9f4cbf47f94f138d9b99d904,op1
8ccc215ef98ea7425fbd506f8926e4ad78ca1731,op2
6de57f809f3a4c51461d894a2750f493fa406c73,op3
05d9363574ab4a12b4322079e88ae5d75d9678b2,op4
92f80153bd5f394567714e94979db44270772a47,op5
7adb61139985c0139b07614a5d00280dab845620,op1
b0a4328c1b1d7143a72afe71b9edc8d104dc06b2,op2
11370eb3c172e1e8471a0b55282a463b68fe7204,op3
15eacc0223adc4b30d7cf453c760562ce33a6fc5,op4
3f38a67ab54e69a0549cd37146b58b8da47c06c2,op5
9b475a73e3e62f94e027eab8e6bb3cbc417ad37b,op1
e149f8e1fe63fe45ed697d60b453d54bb1c46949,op2
51ebbd97979d7708d1e30f232a4ac0d084e4fc77,op3
9108ecee5010b346016b6cf4afd591b2f9cb510c,op4
60762b3cc2538a8c5ade2b2ab7258b92d292ace7,op5
99ec6a5fb04bb2f23acdda66c75c3b111cb64691,op1
7a6d5abd84f257c050630e7b028dd6e7f636a2eb,op2
61303019d83dc388bf6e95a2001155bd8ba6daaa,op3
7095334a753f69e9d60afe3950255cd73887f412,op4
856d8dc87cc002278689ba38e6d6e9dc1f786123,op5
702042e4a3b4f8106287935d43747adfd4ffd096,op1
632f4b355b145beba3134a1298bc395b68d65938,op1
ac09182c45f9d430c299d1ec49ebc92154575ee6,op1
136a1b4ceffd0f4bef27cb64147887c8690fa2bf,op2
0bc4a6098df6442f4964f864b7bc2fa2d70c98b4,op3
5ca33afc90d6c59bad3c3f3ba6a1f8a6a49e7024,op4
9ed47e02d6695014bb3f4771b5da4cdfd32d74af,op5
23e6d039124b490440d5ddc07aa86863faab9734,op1
bd14089aee7700858378cbee3e0daa3b12cfef99,op2
be2b5b73109d11e83137a7da25b0155367f61b5f,op3
09c35766a1bb6db979e81c0bfc7309ddf35128cc,op4
d834f36bb7ccb705991eac08355aa2b52c9aa6a5,op5
d0eb065610816a9d31805c26c9a3ad6fd3ec20bd,op1
47e1ce537304c3e03b2d6c318bbeff5fa2e89fb9,op2
efe1d7b4e223fa60a5398997c7d62624718d9262,op1
1a0a850555d52647b09b4bfea95cacddf578eea1,op2
7f32d4a6ec8d814c93116322c10a95d323caf66a,op3
812f5ce9d1f9c7e32069322cd9ff0dd8563451ae,op4
87199766583336406a3b1be8231aa0ebb52e6242,op5
7fd3ead114b443cbc2a9428eb23a59b6f6530435,op1
9b4c5ce6a4b6a0fbb6e78af96b176309f6773c73,op2
1a3b85e35b019b06de3f03dfdda3778a6aeb39f4,op3
d8a027bd2594f50fd439922d5fda17666587ae60,op4
d26cf9a9fc925d3b37f7bfc453b503adcedfbb05,op5
04f0f90aa22aa5b76ec04ea133a99c38181d17bd,op1
0c21f389bd3a61ca2c479f4844e8d2c87581a081,op2
9f10cd36d7ae99455c2915820205adde09b0fdc9,op3
09decb5f5797853cc8ea6edb1593e13c09c19662,op4
c7291a7f0c9957860bdbb4636805f6d0a0e457d4,op5
e645fb01c27d9dddc86216f0269f3fdd64dfe7a1,op1
ae2b6d1e243533d502eaf55757661bb09079a557,op2
b79d8f7d9f18f201a9ddf0e08d897b8a5aa48a3c,op3
4bfa468bf82cd02ec779e43a5677675601e642cf,op4
9bb32135fad016dbf33b2471662aabc43c466b18,op5
cc3da6e03923b3a2318e53f46a9355378b40333a,op1
90fa8aaca596f6237425359ff1f7086ef4a7b888,op2
6c6e9332a37052b0e1e7a901da4df56b9ac86ef3,op3
d214cb17a66b2c0026ea6205e8686e9bec38f461,op4
11afd7dbda93451c192b8426a1cae60b98a00b15,op5
0d16ea07b21ca6a9ea0df5e496a879b9ee543fc9,op1
6965fd24b19ee61f27e46c6934cf98f347e8335c,op2
89bf914e5375b7ac854a67f58d2490f251c3e4c8,op3
449d42321497877863103d43a55b6b760b6cc471,op4
19a8c9e0adea389100927aeca0660b6ffd1416cb,op5
f8ace45ca811e61755982585c408c9a34c01f36c,op1
1012a2317a501f005c2367a3b04945dbc9afcaee,op2
82f2fd7d48d05ab4196d45009c2e39b77772a5df,op1
bb51632539146f09e263e333b7381cf1a24d5777,op2
92b306b69ea86e75b1bc93be5da29f26908b1d1c,op3
a0a069caaa1733ca603a841c283efd6012a6bab6,op4
d771a5a4d5e09467235fdd0c3dc2f526aa5f0396,op5
b969ee623f8b5d6e460a14211755e9fbb3ea2994,op1
f520bc7994ef456963ea2fd528f7e04eafc13b5e,op2
a097f021f2c3cdeb50f0b964bfde95fb4a04dcae,op3
5b9708d9b089e1c7e6154b09dc258ee6b3b7f5c8,op1
70713a22b71f83f7809bffcc10846795f17090fa,op2
51badd7ca54921c3251fdc4898cd0bac4aa561e0,op3
b5b48970769ae73b4d37d647445fa2bfdaf75a0a,op4
d771a93b56e244137c9dee311edd57073b3d7995,op1
1146e1771e80aebafc2ab58a468b6abb0892bc60,op2
f7efce042b14a2fc714c5992a0867d748f5f5cd0,op3
fb46242215d8de159869fd5460aebdc8834afe92,op4
6be9fd9d4083af8b1d744947ef9975f220ab1a7c,op5
b92fda6392b72ca33dc6de26530c687c76762541,op1
f30e5872981069d4b408907cd616e46cf45d1f35,op2
bc2828a82608381eccdb47d04377553a27fe84ed,op3
5a3b1cea0873fb9439455a89047a9f5f2769f41e,op4
b987f889ce67c812f43e1e5f5c6c3c447713b2a4,op5
f030d5a020460efb10f86620b6eefc2137c9716d,op1
7e5f4bf4e6709285ca89dad798e21e2c7bbef45a,op1
860e444e7d24a4339fef9ac3776612faeec48df8,op2
5f7c22f4d8a7a987c5eb7f5c02b9af0b9a807278,op3
9ee5f6d4e8b7658212283561525c80b07032a578,op4
e2a21afc34d8649798ba918b616e9fde6e65a53e,op5
958b607b12db8c435aaa51799b33d8153ece48b0,op1
97924feef92aa34fa2e8d2dfe63b3065a17cbf2a,op2
30fb852f1b58d058d76a8a85fe1c9e66e8e2f426,op3
63eb36550db0e711f31d2a71b018754dcf978648,op4
74461e08a5e5f8b2e8496f9ff9f13dcd484a69b6,op5
59c8d1bca5ddbfab4c2c1120dc3f658948dd9cb2,op1
6c5e3f54f9188989394e519d915ef0823658d2d5,op2
e332288e5ad3c3b07992df6afddd962ac30fc204,op3
a7f693aa9c36b1c79d8382d26ffd277c0462b012,op4
c53b7729feaf8aeea7bb006bdf9b798526c84804,op5
28a612ce403262fe6d891b459782d790b614de43,op1
6dbbbef6f34ce16a95c7bf2d72597c25f6153a5e,op2
48850bc0ae7f5e45b5aed080ea351db8493d1059,op1
4d64bdcdecb1368af40d22f17efb51955be6e01d,op2
e0742cdaf490d09e0813a331482626cc2097eecf,op3
bcfffcb0c8c7200298d35f10c64fe824c6bc42e7,op4
90b6d5eed12980e9e0261745770e095c6fdf787b,op5
b23dbbbcea88aa03146358bb5be5191123240e96,op1
d64dac2a8b0c96f2a233ef64c73af6a7225ff3e8,op2
194d30e4fe4d9ce2857f9f3b9e0498ba94399084,op1
2c5f3dc96c12f0acac9004038a464c742c95e76b,op2
0040f260e3e748d0101cc5a816df87f77d26dca8,op3
33a9f31fff9e93acaec9f002c6c9343894151272,op4
318ae8660ade70d262e6e2cffa0741e0999c2aa7,op1
ceffd7d78cf5501365752fe6d9a9078227cecdb9,op2
a40bc38a33780005e8810342f71719bcb536d8d9,op3
6c2b09099afff5c98b9dbe700685aa03bee4be80,op4
5808a0d7df512c74cc7be890fa4d4dbf888abbdf,op5
25831f26257ea30ace9fceabc1ac5151a49494dc,op1
a0ed50bc52c1e2662b2ced5bf37f655a3406ccb6,op2
cc72ea89bc9d725a0954df66b11ea31c0b67681f,op3
2dc2139c24dfc86982ddafd2833994d81c15d143,op4
