sample_id,batch_group,matrix
240216_PL1AG_J0-1-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-1-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-10-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-10-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-11-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-11-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-12-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-12-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-13-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-13-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-14-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-14-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-15-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-15-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-16-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-17-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-17-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-18-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-18-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-19-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-19-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-2-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-2-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-20-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-20-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-21-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-21-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-22-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-22-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-23-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-23-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-24-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-25-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-25-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-26-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-26-Gorge,240216_PL1AG,Gorge
240216_PL1AG_J0-27-Anal,240216_PL1AG,Anal
240216_PL1AG_J0-27-Gorge,240216_PL1AG,Gorge
