batch_group,matrix,pathogen,n_total,n_positive,median_pos,count_0_1,count_1_10,count_10_100,count_100_1000,count_ge_1000
240216_PL1AG,Anal,Campylobacter jejuni,45,35,6.483014,1,21,12,1,0
240216_PL1AG,Anal,Chlamydia spp,45,1,6.02489,0,1,0,0,0
240216_PL1AG,Anal,Chlamydia trachomatis,45,1,6.02489,0,1,0,0,0
240216_PL1AG,Anal,Clostridioides difficile,45,44,92.0,0,5,17,21,1
240216_PL1AG,Anal,Entamoeba histolytica,45,9,0.202735,8,1,0,0,0
240216_PL1AG,Anal,Haemophilus ducreyi,45,0,0.0,0,0,0,0,0
240216_PL1AG,Anal,Haemophilus influenzae,45,15,12.0,1,6,7,1,0
240216_PL1AG,Anal,Haemophilus parainfluenzae,45,27,11.0,1,12,14,0,0
240216_PL1AG,Anal,Human alphaherpesvirus 1,45,27,0.183483,26,1,0,0,0
240216_PL1AG,Anal,Human alphaherpesvirus 2,45,1,0.206039,1,0,0,0,0
240216_PL1AG,Anal,Mpox,45,0,0.0,0,0,0,0,0
240216_PL1AG,Anal,Mycoplasma genitalium,45,2,322.0,0,0,0,2,0
240216_PL1AG,Anal,Mycoplasma hominis,45,15,3.608938,1,10,3,1,0
240216_PL1AG,Anal,Mycoplasma pneumonae,45,0,0.0,0,0,0,0,0
240216_PL1AG,Anal,Mycoplasma spp,45,2,322.0,0,0,0,2,0
240216_PL1AG,Anal,Neisseria gonorrhoeae,45,1,35.0,0,0,1,0,0
240216_PL1AG,Anal,Neisseria meningitidis,45,9,1.992492,2,7,0,0,0
240216_PL1AG,Anal,Neisseria spp,45,11,2.823248,3,6,2,0,0
240216_PL1AG,Anal,Papillomavirus,45,40,19.313562,8,11,12,9,0
240216_PL1AG,Anal,Shigella spp,45,15,11.915359,0,7,5,3,0
240216_PL1AG,Anal,Staphylococcus aureus,45,42,14.0,2,17,21,2,0
240216_PL1AG,Anal,Treponema pallidum,45,0,0.0,0,0,0,0,0
240216_PL1AG,Anal,Trichomonas vaginalis,45,43,6.933803,9,17,16,1,0
240216_PL1AG,Anal,Trichophyton spp,45,3,0.319023,3,0,0,0,0
240216_PL1AG,Anal,Ureaplasma spp,45,6,50.158717499999995,0,2,2,2,0
240216_PL1AG,Gorge,Campylobacter jejuni,46,0,0.0,0,0,0,0,0
240216_PL1AG,Gorge,Chlamydia spp,46,0,0.0,0,0,0,0,0
240216_PL1AG,Gorge,Chlamydia trachomatis,46,0,0.0,0,0,0,0,0
