batch_group,matrix,pathogen,count_0_1,count_1_10,count_10_100,count_100_1000,count_ge_1000,n_total,n_positive,median_pos
240216_PL1AG,Anal,Campylobacter jejuni,11,21,12,1,0,45,35,6.483014
240216_PL1AG,Anal,Chlamydia spp,44,1,0,0,0,45,1,6.02489
240216_PL1AG,Anal,Chlamydia trachomatis,44,1,0,0,0,45,1,6.02489
240216_PL1AG,Anal,Clostridioides difficile,1,5,17,21,1,45,44,92.0
240216_PL1AG,Anal,Entamoeba histolytica,44,1,0,0,0,45,9,0.202735
240216_PL1AG,Anal,Haemophilus ducreyi,45,0,0,0,0,45,0,0.0
240216_PL1AG,Anal,Haemophilus influenzae,31,6,7,1,0,45,15,12.0
240216_PL1AG,Anal,Haemophilus parainfluenzae,19,12,14,0,0,45,27,11.0
240216_PL1AG,Anal,Human alphaherpesvirus 1,44,1,0,0,0,45,27,0.183483
240216_PL1AG,Anal,Human alphaherpesvirus 2,45,0,0,0,0,45,1,0.206039
240216_PL1AG,Anal,Mpox,45,0,0,0,0,45,0,0.0
240216_PL1AG,Anal,Mycoplasma genitalium,43,0,0,2,0,45,2,322.0
240216_PL1AG,Anal,Mycoplasma hominis,31,10,3,1,0,45,15,3.608938
240216_PL1AG,Anal,Mycoplasma pneumoniae,45,0,0,0,0,45,0,0.0
240216_PL1AG,Anal,Mycoplasma spp,43,0,0,2,0,45,2,322.0
240216_PL1AG,Anal,Neisseria gonorrhoeae,44,0,1,0,0,45,1,35.0
240216_PL1AG,Anal,Neisseria meningitidis,38,7,0,0,0,45,9,1.992492
240216_PL1AG,Anal,Neisseria spp,37,6,2,0,0,45,11,2.823248
240216_PL1AG,Anal,Papillomavirus,13,11,14,7,0,45,40,19.156781000000002
240216_PL1AG,Anal,Shigella spp,30,7,5,3,0,45,15,11.915359
240216_PL1AG,Anal,Staphylococcus aureus,5,17,21,2,0,45,42,14.0
240216_PL1AG,Anal,Treponema pallidum,45,0,0,0,0,45,0,0.0
240216_PL1AG,Anal,Trichomonas vaginalis,11,17,16,1,0,45,43,6.933803
240216_PL1AG,Anal,Trichophyton spp,45,0,0,0,0,45,3,0.319023
240216_PL1AG,Anal,Ureaplasma spp,39,2,2,2,0,45,6,50.158717499999995
240216_PL1AG,Gorge,Campylobacter jejuni,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Chlamydia spp,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Chlamydia trachomatis,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Clostridioides difficile,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Entamoeba histolytica,46,0,0,0,0,46,1,0.090934
240216_PL1AG,Gorge,Haemophilus ducreyi,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Haemophilus influenzae,22,0,9,15,0,46,24,111.5
240216_PL1AG,Gorge,Haemophilus parainfluenzae,5,0,6,25,10,46,41,398.0
240216_PL1AG,Gorge,Human alphaherpesvirus 1,46,0,0,0,0,46,31,0.103733
240216_PL1AG,Gorge,Human alphaherpesvirus 2,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Mpox,46,0,0,0,0,46,0,0.0
